site,date,moz
Sagiyama,29-Jun-1956,425
Sagiyama,6-Jul-1956,150
Sagiyama,13-Jul-1956,100
Sagiyama,20-Jul-1956,125
Sagiyama,27-Jul-1956,60
Sagiyama,3-Aug-1956,15
Sagiyama,10-Aug-1956,13
Sagiyama,17-Aug-1956,11
Sagiyama,24-Aug-1956,12
Sagiyama,31-Aug-1956,3
Sagiyama,7-Sep-1956,2
Sagiyama,14-Sep-1956,1
Natori,2-Jul-1964,509
Natori,9-Jul-1964,1819
Natori,16-Jul-1964,1888
Natori,23-Jul-1964,1785
Natori,30-Jul-1964,787
Natori,6-Aug-1964,1190
Natori,13-Aug-1964,521
Natori,20-Aug-1964,210
Natori,27-Aug-1964,267
Natori,3-Sep-1964,51
